Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
Control	6	2	3	0	12	64
Control	7	1	0	0	11	28
Control	7	1	0	0	15	38
Control	7	1	0	0	25	50
Control	7	1	0	0	69	65
Control	7	1	0	0	72	81
Control	7	1	0	0	29	83
Control	7	1	0	0	47	108
Control	7	1	0	0	41	93
Control	7	1	0	0	37	62
Control	7	1	1	0	39	39
Control	7	1	1	0	30	44
Control	7	1	1	0	29	32
Control	7	1	1	0	30	38
Control	7	1	1	0	28	40
Control	7	1	1	0	27	39
Control	7	1	1	0	36	33
Control	7	1	1	0	18	23
Control	7	1	1	0	15	20
Control	7	1	2	0	36	75
Control	7	1	2	0	24	35
Control	7	1	2	0	23	66
Control	7	1	2	0	22	56
Control	7	1	2	0	38	52
Control	7	1	2	0	47	54
Control	7	1	2	0	75	46
Control	7	1	2	0	96	65
Control	7	2	0	0	46	69
Control	7	2	0	0	71	66
Control	7	2	0	0	46	56
Control	7	2	0	0	35	84
Control	7	2	0	0	63	78
Control	7	2	0	0	48	71
Control	7	2	0	0	36	67
Control	7	2	0	0	55	76
Control	7	2	0	0	46	64
Control	7	2	1	0	40	45
Control	7	2	1	0	28	31
Control	7	2	1	0	24	30
Control	7	2	1	0	15	24
Control	7	2	1	0	44	49
Control	7	2	1	0	11	18
Control	7	2	1	0	10	16
Control	7	2	1	0	19	38
Control	7	2	2	0	92	117
Control	7	2	2	0	23	72
Control	7	2	2	0	21	78
Control	7	2	2	0	41	98
Control	7	2	2	0	29	70
Control	7	2	2	0	50	124
Control	7	2	2	0	43	94
Control	7	1	3	0	18	79
Control	7	1	3	0	17	28
Control	7	1	3	0	20	50
Control	7	1	3	0	21	47
Control	7	1	3	0	10	34
Control	7	2	3	0	15	56
Control	7	2	3	0	1	40
Control	7	2	3	0	17	93
Control	7	2	3	0	30	84
Control	7	2	3	0	26	86
Control	7	2	3	0	27	31
Control	7	2	3	0	55	162
Control	4	1	0	0	46	69
Control	4	1	0	0	52	61
Control	4	1	0	0	46	63
Control	4	1	0	0	32	45
Control	4	1	0	0	66	76
Control	4	1	0	0	27	88
Control	4	1	0	0	27	66
Control	4	1	0	0	52	75
Control	4	1	0	0	64	68
Control	4	1	1	0	17	57
Control	4	1	1	0	5	31
Control	4	1	1	0	12	33
Control	4	1	1	0	8	41
Control	4	1	1	0	11	40
Control	4	1	1	0	18	46
Control	4	1	1	0	6	30
Control	4	1	1	0	2	32
Control	4	1	1	0	4	46
Control	4	1	2	0	92	88
Control	4	1	2	0	91	85
Control	4	1	2	0	124	107
Control	4	1	2	0	83	103
Control	4	1	2	0	51	58
Control	4	1	2	0	84	96
Control	4	1	2	0	66	86
Control	4	1	2	0	63	90
Control	4	1	2	0	84	86
Control	4	1	3	0	71	46
Control	4	1	3	0	77	36
Control	4	1	3	0	90	59
Control	4	1	3	0	80	24
Control	4	1	3	0	36	16
Control	4	1	3	0	46	7
Control	4	1	3	0	21	12
Control	4	1	3	0	31	9
Control	4	1	7	0	34	10
Control	4	1	7	0	67	20
Control	4	1	7	0	97	53
Control	4	1	7	0	83	42
Control	4	1	7	0	82	53
Control	4	1	7	0	93	55
Control	4	1	7	0	90	52
Control	4	1	7	0	92	51
Control	4	1	7	0	81	37
Control	4	2	0	0	13	70
Control	4	2	0	0	3	61
Control	4	2	0	0	1	76
Control	4	2	0	0	1	73
Control	4	2	0	0	4	66
Control	4	2	0	0	3	45
Control	4	2	0	0	2	67
Control	4	2	0	0	2	73
Control	4	2	0	0	2	78
Control	4	2	1	0	2	12
Control	4	2	1	0	2	20
Control	4	2	1	0	8	39
Control	4	2	1	0	5	28
Control	4	2	1	0	5	31
Control	4	2	1	0	9	34
Control	4	2	1	0	10	27
Control	4	2	1	0	6	25
Control	4	2	1	0	4	17
Control	4	2	2	0	84	90
Control	4	2	2	0	77	81
Control	4	2	2	0	105	129
Control	4	2	2	0	75	73
Control	4	2	2	0	84	109
Control	4	2	2	0	79	107
Control	4	2	2	0	34	53
Control	4	2	2	0	65	87
Control	4	2	2	0	91	117
Control	4	2	3	0	64	56
Control	4	2	3	0	68	62
Control	4	2	3	0	48	58
Control	4	2	3	0	42	50
Control	4	2	3	0	22	28
Control	4	2	3	0	31	27
Control	4	2	3	0	22	21
Control	4	2	3	0	20	19
